,listing_id,date,available,price
0,12147973,2017-09-05,f,
1,12147973,2017-09-04,f,
2,12147973,2017-09-03,f,
3,12147973,2017-09-02,f,
4,12147973,2017-09-01,f,
543,3075044,2017-09-05,t,$65.00
544,3075044,2017-09-04,t,$65.00
545,3075044,2017-09-03,t,$65.00
546,3075044,2017-09-02,t,$75.00
547,3075044,2017-09-01,t,$75.00
889,6976,2017-09-05,t,$65.00
890,6976,2017-09-04,t,$65.00
891,6976,2017-09-03,t,$65.00
892,6976,2017-09-02,t,$65.00
893,6976,2017-09-01,t,$65.00
1278,1436513,2017-09-05,f,
1279,1436513,2017-09-04,f,
1280,1436513,2017-09-03,f,
1281,1436513,2017-09-02,f,
1282,1436513,2017-09-01,f,
1670,7651065,2017-09-05,t,$79.00
1671,7651065,2017-09-04,t,$79.00
1672,7651065,2017-09-03,t,$79.00
1673,7651065,2017-09-02,t,$79.00
1674,7651065,2017-09-01,t,$79.00
2011,12386020,2017-09-05,f,
2012,12386020,2017-09-04,f,
2013,12386020,2017-09-03,f,
2014,12386020,2017-09-02,f,
2015,12386020,2017-09-01,f,
2190,5706985,2017-09-05,t,$100.00
2191,5706985,2017-09-04,t,$100.00
2192,5706985,2017-09-03,t,$100.00
2193,5706985,2017-09-02,t,$125.00
2194,5706985,2017-09-01,t,$125.00
2555,2843445,2017-09-03,t,$75.00
2556,2843445,2017-09-02,t,$75.00
2557,2843445,2017-09-01,t,$75.00
2760,2843445,2017-09-05,t,$75.00
2761,2843445,2017-09-04,t,$75.00
2920,753446,2017-09-05,t,$58.00
2921,753446,2017-09-04,t,$58.00
2922,753446,2017-09-03,t,$58.00
2923,753446,2017-09-02,t,$58.00
2924,753446,2017-09-01,t,$58.00
3285,849408,2017-09-05,f,
3286,849408,2017-09-04,f,
3287,849408,2017-09-03,f,
3288,849408,2017-09-02,f,
3289,849408,2017-09-01,f,
3650,12023024,2017-09-05,t,$60.00
3651,12023024,2017-09-04,t,$60.00
3652,12023024,2017-09-03,t,$60.00
3653,12023024,2017-09-02,t,$60.00
3654,12023024,2017-09-01,t,$60.00
4213,1668313,2017-09-05,t,$57.00
4214,1668313,2017-09-04,t,$57.00
4215,1668313,2017-09-03,t,$57.00
4216,1668313,2017-09-02,t,$57.00
4217,1668313,2017-09-01,t,$57.00
4380,2684840,2017-09-05,f,
4381,2684840,2017-09-04,f,
4382,2684840,2017-09-03,f,
4383,2684840,2017-09-02,f,
4384,2684840,2017-09-01,f,
4745,13547301,2017-09-05,f,
4746,13547301,2017-09-04,f,
4747,13547301,2017-09-03,f,
4748,13547301,2017-09-02,f,
4749,13547301,2017-09-01,f,
5110,5434353,2017-09-05,t,$145.00
5111,5434353,2017-09-04,t,$145.00
5112,5434353,2017-09-03,t,$145.00
5113,5434353,2017-09-02,t,$145.00
5114,5434353,2017-09-01,t,$145.00
5475,225979,2017-09-04,t,$60.00
5476,225979,2017-09-03,t,$60.00
5477,225979,2017-09-02,t,$60.00
5478,225979,2017-09-01,t,$60.00
5694,225979,2017-09-05,t,$60.00
5840,3420384,2017-09-05,t,$165.00
5841,3420384,2017-09-04,t,$165.00
5842,3420384,2017-09-03,t,$165.00
5843,3420384,2017-09-02,t,$170.00
5844,3420384,2017-09-01,t,$170.00
6386,13512930,2017-09-05,f,
6387,13512930,2017-09-04,f,
6388,13512930,2017-09-03,f,
6389,13512930,2017-09-02,f,
6390,13512930,2017-09-01,f,
6570,7482195,2017-09-05,t,$49.00
6571,7482195,2017-09-04,t,$49.00
6572,7482195,2017-09-03,t,$49.00
6573,7482195,2017-09-02,t,$49.00
6574,7482195,2017-09-01,t,$49.00
6935,7252607,2017-09-05,t,$49.00
6936,7252607,2017-09-04,t,$49.00
6937,7252607,2017-09-03,t,$49.00
6938,7252607,2017-09-02,t,$49.00
6939,7252607,2017-09-01,t,$49.00
7587,2583074,2017-09-05,t,$40.00
7588,2583074,2017-09-04,t,$40.00
7589,2583074,2017-09-03,t,$40.00
7590,2583074,2017-09-02,t,$40.00
7591,2583074,2017-09-01,t,$40.00
7924,13251243,2017-09-05,t,$120.00
7925,13251243,2017-09-04,t,$120.00
7926,13251243,2017-09-03,t,$120.00
7927,13251243,2017-09-02,t,$145.00
7928,13251243,2017-09-01,t,$145.00
8187,225834,2017-09-05,t,$70.00
8188,225834,2017-09-04,t,$70.00
8189,225834,2017-09-03,t,$70.00
8190,225834,2017-09-02,t,$70.00
8191,225834,2017-09-01,t,$70.00
8395,6400432,2017-09-05,f,
8396,6400432,2017-09-04,f,
8397,6400432,2017-09-03,f,
8398,6400432,2017-09-02,f,
8399,6400432,2017-09-01,f,
8760,5498472,2017-09-05,f,
8761,5498472,2017-09-04,f,
8762,5498472,2017-09-03,f,
8763,5498472,2017-09-02,f,
8764,5498472,2017-09-01,f,
9339,894539,2017-09-05,t,$95.00
9340,894539,2017-09-04,f,
9341,894539,2017-09-03,f,
9342,894539,2017-09-02,f,
9343,894539,2017-09-01,f,
9740,879929,2017-09-05,t,$90.00
9741,879929,2017-09-04,t,$90.00
9742,879929,2017-09-03,t,$90.00
9743,879929,2017-09-02,t,$90.00
9744,879929,2017-09-01,t,$90.00
9855,9218312,2017-09-05,f,
9856,9218312,2017-09-04,f,
9857,9218312,2017-09-03,f,
9858,9218312,2017-09-02,f,
9859,9218312,2017-09-01,f,
10489,321328,2017-09-05,t,$100.00
10490,321328,2017-09-04,t,$100.00
10491,321328,2017-09-03,t,$100.00
10492,321328,2017-09-02,t,$100.00
10493,321328,2017-09-01,t,$100.00
10585,1810172,2017-09-05,t,$67.00
10586,1810172,2017-09-04,t,$67.00
10587,1810172,2017-09-03,t,$67.00
10588,1810172,2017-09-02,t,$67.00
10589,1810172,2017-09-01,t,$67.00
10950,6513924,2017-09-05,t,$55.00
